M,Uneducated,Unknown,$120K +,Blue,42,5,31,5,3,2,6748,1467,5281,1201,42,0.831,0.68,0.217,Existing Customer
M,Unknown,Married,$120K +,Blue,49,2,36,4,2,0,19763,2517,17246,1414,35,0.664,0.25,0.127,Existing Customer
M,Graduate,Married,$120K +,Blue,56,2,36,1,3,3,15769,0,15769,602,15,1.041,0.364,0,Attrited Customer
M,Post-Graduate,Single,$120K +,Blue,44,4,32,2,4,2,23957,2102,21855,1276,26,0.997,0.733,0.088,Existing Customer
M,High School,Single,$120K +,Blue,53,2,44,4,2,2,14734,1634,13100,1289,23,0.989,0.917,0.111,Existing Customer
M,Graduate,Single,$120K +,Blue,51,4,42,3,2,3,34516,1763,32753,1550,41,1.266,1.05,0.051,Existing Customer
M,Unknown,Unknown,$120K +,Blue,44,1,36,6,2,2,34516,1533,32983,1603,29,0.924,0.526,0.044,Existing Customer
M,High School,Single,$120K +,Blue,53,2,35,4,2,1,19040,2056,16984,1212,31,0.607,0.722,0.108,Existing Customer
M,Unknown,Married,$120K +,Blue,57,2,45,5,3,3,5266,0,5266,1516,29,1.702,1.636,0,Existing Customer
M,College,Married,$120K +,Blue,56,3,50,3,2,0,9689,2250,7439,1158,19,0.576,0.727,0.232,Existing Customer
M,Graduate,Married,$120K +,Blue,53,3,34,6,2,2,2940,1264,1676,1259,33,0.562,0.5,0.43,Existing Customer
M,Post-Graduate,Single,$120K +,Blue,53,2,36,6,1,2,34516,931,33585,1022,21,0.828,1.1,0.027,Existing Customer
M,Unknown,Divorced,$120K +,Blue,54,4,36,6,3,2,33791,1960,31831,1047,31,0.618,0.824,0.058,Existing Customer
M,Graduate,Single,$120K +,Blue,50,2,36,3,2,2,34516,1023,33493,1064,13,1.004,0.625,0.03,Existing Customer
M,Graduate,Single,$120K +,Blue,58,4,52,6,1,0,32090,0,32090,1368,30,0.567,0.364,0,Existing Customer
M,Unknown,Single,$120K +,Blue,51,1,42,6,2,3,9036,2327,6709,1131,18,0.649,0.636,0.258,Existing Customer
M,Graduate,Married,$120K +,Blue,55,2,50,3,2,0,10916,1536,9380,1592,34,1.317,1,0.141,Existing Customer
M,Doctorate,Married,$120K +,Blue,49,1,38,6,1,3,9364,618,8746,1099,27,0.554,0.8,0.066,Existing Customer
M,Doctorate,Married,$120K +,Blue,54,3,41,3,3,0,21592,1676,19916,1873,52,1.097,0.529,0.078,Existing Customer
M,High School,Unknown,$120K +,Blue,41,0,36,3,2,3,18214,1998,16216,1344,21,0.829,1.1,0.11,Existing Customer
M,College,Married,$120K +,Blue,58,2,53,2,3,0,24407,2395,22012,2311,48,1.071,0.714,0.098,Existing Customer
M,Graduate,Married,$120K +,Blue,52,3,47,5,3,3,11086,2207,8879,1523,40,0.869,1.105,0.199,Existing Customer
M,Graduate,Married,$120K +,Blue,51,2,44,4,3,3,34516,1666,32850,1218,18,0.613,0.8,0.048,Existing Customer
M,Graduate,Single,$120K +,Blue,41,5,29,5,2,2,5207,1748,3459,1310,26,1.073,1,0.336,Existing Customer
M,High School,Married,$120K +,Blue,46,4,30,3,3,3,2442,0,2442,701,19,0.98,0.727,0,Attrited Customer
M,Post-Graduate,Single,$120K +,Blue,50,3,31,4,1,2,3234,1486,1748,1354,28,0.868,0.647,0.459,Existing Customer
M,Uneducated,Single,$120K +,Blue,45,1,39,4,2,2,3133,1510,1623,1435,38,0.609,0.462,0.482,Existing Customer
M,High School,Married,$120K +,Blue,48,2,36,3,3,3,27126,0,27126,1000,25,0.953,0.786,0,Attrited Customer
M,Graduate,Married,$120K +,Blue,51,2,42,3,3,0,24221,1707,22514,1678,40,0.816,0.538,0.07,Existing Customer
M,Graduate,Single,$120K +,Blue,52,2,37,2,3,2,14543,0,14543,1536,37,0.788,0.423,0,Existing Customer
M,Graduate,Married,$120K +,Blue,57,3,38,2,3,3,8249,1381,6868,678,11,0.798,0.833,0.167,Attrited Customer
M,Uneducated,Married,$120K +,Blue,56,1,36,3,2,2,6041,1355,4686,1747,49,0.685,0.581,0.224,Existing Customer
M,High School,Married,$120K +,Blue,53,1,36,6,3,2,3312,1844,1468,1740,32,0.986,0.882,0.557,Existing Customer
M,Graduate,Married,$120K +,Blue,49,1,39,3,2,3,34516,0,34516,1106,31,0.507,0.938,0,Existing Customer
M,High School,Single,$120K +,Blue,51,4,46,6,3,3,34516,2274,32242,1795,47,0.788,0.679,0.066,Existing Customer
M,Unknown,Married,$120K +,Blue,43,4,39,3,3,3,14881,848,14033,1408,23,0.762,1.091,0.057,Existing Customer
M,High School,Married,$120K +,Blue,46,2,36,5,3,2,19727,1785,17942,1245,25,0.572,0.786,0.09,Existing Customer
M,Uneducated,Unknown,$120K +,Blue,58,2,49,6,2,3,9788,1794,7994,1805,37,0.778,0.762,0.183,Existing Customer
M,High School,Married,$120K +,Blue,55,0,49,5,3,3,3805,2233,1572,1743,27,1.095,0.929,0.587,Existing Customer
M,Uneducated,Married,$120K +,Blue,57,2,40,3,3,3,3106,1120,1986,683,17,1.045,0.7,0.361,Attrited Customer
M,Unknown,Married,$120K +,Blue,45,4,33,6,1,3,34516,2086,32430,1859,47,0.986,0.958,0.06,Existing Customer
M,High School,Married,$120K +,Blue,48,2,36,6,5,2,29963,2094,27869,1205,28,0.648,0.867,0.07,Existing Customer
M,High School,Married,$120K +,Blue,54,3,43,4,1,1,13219,0,13219,1097,24,0.576,0.5,0,Existing Customer
M,Uneducated,Divorced,$120K +,Blue,41,2,29,3,2,2,15911,896,15015,1270,33,0.954,0.833,0.056,Existing Customer
M,College,Single,$120K +,Blue,56,2,50,2,2,3,16867,0,16867,654,14,0.885,0.4,0,Attrited Customer
M,Unknown,Unknown,$120K +,Blue,43,4,34,5,2,2,33304,1833,31471,1448,29,0.428,0.381,0.055,Existing Customer
M,Unknown,Unknown,$120K +,Blue,49,3,44,5,2,2,21620,2008,19612,1300,33,0.691,0.5,0.093,Existing Customer
M,Unknown,Single,$120K +,Blue,50,1,39,3,2,3,27512,2137,25375,1149,25,1.048,0.562,0.078,Attrited Customer
M,High School,Married,$120K +,Blue,48,4,31,6,3,1,34516,1013,33503,1222,37,0.575,0.85,0.029,Existing Customer
M,High School,Married,$120K +,Blue,51,3,40,6,3,2,7319,1692,5627,1233,29,0.701,0.611,0.231,Existing Customer
M,Graduate,Single,$120K +,Blue,44,2,33,4,1,3,13301,0,13301,1385,50,1.058,0.515,0,Existing Customer
M,Uneducated,Married,$120K +,Blue,57,4,38,6,6,2,19802,1961,17841,2244,58,1.125,0.706,0.099,Existing Customer
M,Graduate,Single,$120K +,Blue,52,2,44,5,1,1,34516,2174,32342,1616,50,0.426,0.515,0.063,Existing Customer
M,Unknown,Married,$120K +,Blue,57,2,36,3,2,2,23700,1314,22386,1644,28,1.487,0.647,0.055,Existing Customer
M,High School,Married,$120K +,Blue,52,2,36,5,1,2,2981,1358,1623,1648,30,1.242,1.5,0.456,Existing Customer
M,Post-Graduate,Married,$120K +,Blue,57,4,51,4,2,3,16952,0,16952,1918,61,0.709,0.649,0,Existing Customer
